year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,M. Bell,13:29:10.538,13:30:09.535,PIT,58.997,1:07:24.502,1:09:18.109,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,4,M. Bell,13:30:09.535,14:15:58.695,TRACK,45:49.160,1:53:13.662,1:55:07.269,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,10,No. 10 Konica Minolta Corvette DP for Wayne Taylor | Chevrolet Corvette DP P,1,R. Taylor,11:35:58.695,12:16:10.965,TRACK,40:12.270,40:12.270,40:12.270,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,10,No. 10 Konica Minolta Corvette DP for Wayne Taylor | Chevrolet Corvette DP P,,,12:16:10.965,12:17:07.793,PIT,56.828,,,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,10,No. 10 Konica Minolta Corvette DP for Wayne Taylor | Chevrolet Corvette DP P,2,J. Taylor,12:17:07.793,13:23:42.558,TRACK,1:06:34.765,1:06:34.765,1:06:34.765,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,10,No. 10 Konica Minolta Corvette DP for Wayne Taylor | Chevrolet Corvette DP P,,J. Taylor,13:23:42.558,13:24:41.398,PIT,58.840,1:06:34.765,1:07:33.605,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,10,No. 10 Konica Minolta Corvette DP for Wayne Taylor | Chevrolet Corvette DP P,3,J. Taylor,13:24:41.398,14:15:58.695,TRACK,51:17.297,1:57:52.062,1:58:50.902,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,16,Change Racing | Lamborghini Huracan GT3 GTD,1,C. Lewis,11:35:58.695,12:19:44.824,TRACK,43:46.129,43:46.129,43:46.129,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,16,Change Racing | Lamborghini Huracan GT3 GTD,,C. Lewis,12:19:44.824,12:20:52.922,PIT,1:08.098,43:46.129,44:54.227,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,16,Change Racing | Lamborghini Huracan GT3 GTD,2,C. Lewis,12:20:52.922,13:19:49.793,TRACK,58:56.871,1:42:43.000,1:43:51.098,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,16,Change Racing | Lamborghini Huracan GT3 GTD,,,13:19:49.793,13:21:02.279,PIT,1:12.486,,,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,16,Change Racing | Lamborghini Huracan GT3 GTD,3,S. Pumpelly,13:21:02.279,14:15:58.695,TRACK,54:56.416,54:56.416,54:56.416,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,20,BAR1 Motorsports | ORECA FLM09 PC,1,M. McMurry,11:35:58.695,12:16:20.706,TRACK,40:22.011,40:22.011,40:22.011,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,20,BAR1 Motorsports | ORECA FLM09 PC,,M. McMurry,12:16:20.706,12:17:25.346,PIT,1:04.640,40:22.011,41:26.651,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,20,BAR1 Motorsports | ORECA FLM09 PC,2,M. McMurry,12:17:25.346,13:12:20.631,TRACK,54:55.285,1:35:17.296,1:36:21.936,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,20,BAR1 Motorsports | ORECA FLM09 PC,,,13:12:20.631,13:13:55.006,PIT,1:34.375,,,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,20,BAR1 Motorsports | ORECA FLM09 PC,3,B. Junqueira,13:13:55.006,13:57:36.747,TRACK,43:41.741,43:41.741,43:41.741,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,20,BAR1 Motorsports | ORECA FLM09 PC,,B. Junqueira,13:57:36.747,13:58:32.638,PIT,55.891,43:41.741,44:37.632,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,20,BAR1 Motorsports | ORECA FLM09 PC,4,B. Junqueira,13:58:32.638,14:15:58.695,TRACK,17:26.057,1:01:07.798,1:02:03.689,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,1,A. Riberas,11:35:58.695,12:19:38.708,TRACK,43:40.013,43:40.013,43:40.013,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,23,Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,,A. Riberas,12:19:38.708,12:20:43.975,PIT,1:05.267,43:40.013,44:45.280,20_Drive Time.PDF,3,1
