year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,29,GTLM,25,BMW Team RLL,BMW M6 GTLM,Dirk Werner,1:15.482,8,81,5.078,0.983,117.2,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,30,GTLM,100,BMW Team RLL,BMW M6 GTLM,John Edwards,1:15.761,56,87,5.357,0.279,116.8,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,31,GTLM,3,Corvette Racing,Chevrolet Corvette C7.R,Antonio Garcia,1:15.952,40,79,5.548,0.191,116.5,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,32,GTLM,67,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,1:15.991,19,82,5.587,0.039,116.5,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,33,GTLM,4,Corvette Racing,Chevrolet Corvette C7.R,Tommy Milner,1:16.023,58,85,5.619,0.032,116.4,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,34,GTLM,66,Ford Chip Ganassi Racing,Ford GT,Dirk Mueller,1:16.050,8,37,5.646,0.027,116.3,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,35,GTLM,25,BMW Team RLL,BMW M6 GTLM,Bill Auberlen,1:16.099,5,38,5.695,0.049,116.3,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,36,GTLM,4,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,1:16.165,10,34,5.761,0.066,116.1,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,37,GTLM,62,Risi Competizione,Ferrari 488 GTE,Giancarlo Fisichella,1:16.167,7,37,5.763,0.002,116.1,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,38,GTLM,67,Ford Chip Ganassi Racing,Ford GT,Richard Westbrook,1:16.201,6,37,5.797,0.034,116.1,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,39,GTLM,100,BMW Team RLL,BMW M6 GTLM,Lucas Luhr,1:16.237,6,21,5.833,0.036,116.1,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,40,GTLM,66,Ford Chip Ganassi Racing,Ford GT,Joey Hand,1:16.262,5,82,5.858,0.025,116.0,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,41,GTLM,62,Risi Competizione,Ferrari 488 GTE,Toni Vilander,1:16.272,53,82,5.868,0.010,116.0,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,42,PC,88,Starworks Motorsport,ORECA FLM09,Mark Kvamme,1:16.295,9,46,5.891,0.023,116.0,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,43,GTLM,3,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,1:16.336,14,40,5.932,0.041,115.9,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,44,GTLM,912,Porsche North America,Porsche 911 RSR,Frederic Makowiecki,1:16.337,33,86,5.933,0.001,115.9,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,45,GTLM,912,Porsche North America,Porsche 911 RSR,Earl Bamber,1:16.393,6,33,5.989,0.056,115.8,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,46,GTLM,911,Porsche North America,Porsche 911 RSR,Patrick Pilet,1:16.444,31,67,6.040,0.051,115.8,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,47,GTLM,911,Porsche North America,Porsche 911 RSR,Nick Tandy,1:16.549,22,52,6.145,0.105,115.6,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,48,PC,85,JDC-Miller Motorsports,ORECA FLM09,Misha Goikhberg,1:16.977,5,16,6.573,0.428,115.0,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,49,GTD,96,Turner Motorsport,BMW M6 GT3,Jens Klingmann,1:17.583,6,78,7.179,0.606,114.0,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,50,GTD,9,Stevenson Motorsports,Audi R8 LMS GT3,Lawson Aschenbach,1:17.629,31,74,7.225,0.046,114.0,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,51,GTD,44,Magnus Racing,Audi R8 LMS GT3,Andy Lally,1:17.969,37,75,7.565,0.340,113.5,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,52,GTD,73,Park Place Motorsports,Porsche 911 GT3 R,Jorg Bergmeister,1:18.025,35,76,7.621,0.056,113.4,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,53,GTD,23,Team Seattle / Alex Job Racing,Porsche 911 GT3 R,Alex Riberas,1:18.052,4,40,7.648,0.027,113.4,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,54,GTD,16,Change Racing,Lamborghini Huracan GT3,Spencer Pumpelly,1:18.386,47,80,7.982,0.334,112.9,07_ Driver Fastest Lap.PDF,1
