year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,27,10,9,,,O. Jarvis / M. Kirchhöfer,Pfaff Motorsports,McLaren 720S GT3 EVO,207,6:01:51.986,12 Laps,3.167,,4,1:24.485,103.928,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,28,3,32,GTD,,M. Skeen / K. Koch / M. Grenier,Korthoff/Preston Motorsports,Mercedes-AMG GT3,207,6:01:57.294,12 Laps,5.308,,171,1:24.404,104.027,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,29,4,78,GTD,,D. Defrancesco / L. Spinelli M. Goikhberg,Forte Racing,Lamborghini Huracan GT3 EVO2,207,6:01:58.880,12 Laps,1.586,,171,1:25.029,103.263,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,30,5,57,GTD,,I. Dontje / P. Ellis / R. Ward,WINWARD RACING,Mercedes-AMG GT3,207,6:02:01.617,12 Laps,2.737,,172,1:24.912,103.405,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,31,6,13,GTD,,L. Kern / M. Bell / O. Fidani,AWA,Chevrolet Corvette Z06 GT3.R,207,6:02:07.703,12 Laps,6.086,,125,1:24.120,104.379,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,32,7,47,GTD,,A. Fuoco / G. Sernagiotto R. Lacorte,CETILAR RACING,Ferrari 296 GT3,207,6:02:09.496,12 Laps,1.793,,171,1:25.015,103.280,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,33,8,90,GTD,,R. Dickinson / K. van Berlo J. Pedersen,KellyMoss with Riley,Porsche 911 GT3 R (992),207,6:02:15.827,12 Laps,6.331,,171,1:25.005,103.292,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,34,9,70,GTD,,O. Millroy / F. Schandorff / B. Iribe,Inception Racing,Ferrari 296 GT3,206,6:01:01.238,13 Laps,1,,104,1:24.641,103.736,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,35,10,45,GTD,,G. Doyle / D. Formal / K. Marcelli,Wayne Taylor Racing with Andretti,Lamborghini Huracan GT3 EVO2,206,6:01:17.219,13 Laps,15.981,,170,1:25.071,103.212,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,36,11,44,GTD,,S. Pumpelly / A. Lally / J. Potter,Magnus Racing,Aston Martin Vantage GT3 Evo,206,6:01:34.505,13 Laps,17.286,,151,1:24.548,103.850,03_Results_Race_Official.PDF,2
