year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Ed Jones,Bret Curtis,Ryan Briscoe,Marcos Gomes,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Ed Jones 3.Ryan Briscoe | 2.Bret Curtis 4.Marcos Gomes
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,64,GTD,TeamTGM,Porsche 911 GT3R,Ted Giovanis,Owen Trinkler,Hugh Plumb,Matt Plumb,,TeamTGM Porsche 911 GT3R | GTD | 1.Ted Giovanis 3.Hugh Plumb | 2.Owen Trinkler 4.Matt Plumb
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,74,LMP3,Riley Motorsports,Ligier JS P320,Gar Robinson,Scott Andrews,Oliver Askew,Spencer Pigot,,Riley Motorsports Ligier JS P320 | LMP3 | 1.Gar Robinson 3.Oliver Askew | 2.Scott Andrews 4.Spencer Pigot
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,75,GTD,Sun Energy 1,Mercedes-AMG GT3,Kenny Habul,Raffaele Marciello,Mikael Grenier,Luca Stolz,,Sun Energy 1 Mercedes-AMG GT3 | GTD | 1.Kenny Habul 3.Mikael Grenier | 2.Raffaele Marciello 4.Luca Stolz
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,79,GTLM,WeatherTech Racing,Porsche 911 RSR - 19,Cooper MacNeil,Kevin Estre,Richard Lietz,Gianmaria Bruni,,WeatherTech Racing Porsche 911 RSR - 19 | GTLM | 1.Cooper MacNeil 3.Richard Lietz | 2.Kevin Estre 4.Gianmaria Bruni
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,81,LMP2,DragonSpeed USA LLC,ORECA 07,Ben Hanley,Rob Hodes,Garett Grist,Rinus Veekay,,DragonSpeed USA LLC ORECA LMP2 07 | LMP2 | 1.Ben Hanley 3.Garett Grist | 2.Rob Hodes 4.Rinus Veekay
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,82,LMP2,DragonSpeed USA LLC,ORECA 07,Christopher Mies,Eric Lux,Devlin DeFrancesco,Fabian Schiller,,DragonSpeed USA LLC ORECA LMP2 07 | LMP2 | 1.Christopher Mies 3.Devlin DeFrancesco | 2.Eric Lux 4.Fabian Schiller
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,88,GTD,Team Hardpoint EBM,Porsche 911 GT3R,Rob Ferriol,Earl Bamber,Katherine Legge,Christina Nielsen,,Team Hardpoint EBM Porsche 911 GT3R | GTD | 1.Rob Ferriol 3.Katherine Legge | 2.Earl Bamber 4.Christina Nielsen
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,91,LMP3,Riley Motorsports,Ligier JS P320,Jim Cox,Dylan Murry,Austin McCusker,Jeroen Bleekemolen,,Riley Motorsports Ligier JS P320 | LMP3 | 1.Jim Cox 3.Austin McCusker | 2.Dylan Murry 4.Jeroen Bleekemolen
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Bill Auberlen,Robby Foley,Aidan Read,Colton Herta,,Turner Motorsport BMW M6 GT3 | GTD | 1.Bill Auberlen 3.Aidan Read | 2.Robby Foley 4.Colton Herta
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,97,GTD,TF Sport Aston,Martin Vantage GT3,Maxwell Root,Charlie Eastwood,Ben Keating,Richard Westbrook,,TF Sport Aston Martin Vantage GT3 | GTD | 1.Maxwell Root 3.Ben Keating | 2.Charlie Eastwood 4.Richard Westbrook
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,111,GTD,GRT Grasser Racing Team,Lamborghini Huracan GT3,Steijn Schothorst,Marco Mapelli,Rolf Ineichen,Mirko Bortolotti,,GRT Grasser Racing Team Lamborghini Huracan GT3 | GTD | 1.Steijn Schothorst 3.Rolf Ineichen | 2.Marco Mapelli 4.Mirko Bortolotti
