year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,73,GTD,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey,Joerg Bergmeister,Norbert Siedler,Timothy Pappas,,Park Place Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Lindsey 3.Norbert Siedler | 2.Joerg Bergmeister 4.Timothy Pappas
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,75,GTD,SunEnergy1 Racing,Mercedes-AMG GT3,Kenny Habul,Thomas Jaeger,Maro Engel,Mikael Grenier,,SunEnergy1 Racing Mercedes-AMG GT3 | GTD | 1.Kenny Habul 3.Maro Engel | 2.Thomas Jaeger 4.Mikael Grenier
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,77,DPi,Mazda Team Joest,Mazda P,Oliver Jarvis,Tristan Nunez,Rene Rast,,,Mazda Team Joest Mazda DPi | P | 1.Oliver Jarvis 3.Rene Rast | 2.Tristan Nunez
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,78,LMP2,Jackie Chan DCR JOTA,ORECA P,Ho-Pin Tung,Alex Brundle,Ferdinand Habsburg-Lothringen,Antonio Felix da Costa,,Jackie Chan DCR JOTA ORECA LMP2 | P | 1.Ho-Pin Tung 3.Ferdinand Habsburg-Lothringen | 2.Alex Brundle 4.Antonio Felix da Costa
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,82,GTD,Risi Competizione,Ferrari 488 GT3,Miguel Molina,Ricardo Perez de Lara,Martin Fuentes,Santiago Creel,Matt Griffin,Risi Competizione Ferrari 488 GT3 | GTD | 1.Miguel Molina 3.Martin Fuentes 5.Matt Griffin | 2.Ricardo Perez de Lara 4.Santiago Creel
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,85,LMP2,JDC-Miller Motorsports,ORECA P,Simon Trummer,Robert Alon,Devlin DeFrancesco,Austin Cindric,,JDC-Miller Motorsports ORECA LMP2 | P | 1.Simon Trummer 3.Devlin DeFrancesco | 2.Robert Alon 4.Austin Cindric
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,86,GTD,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Katherine Legge,Alvaro Parente,Trent Hindman,AJ Allmendinger,,Michael Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Katherine Legge 3.Trent Hindman | 2.Alvaro Parente 4.AJ Allmendinger
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,90,DPi,Spirit of Daytona Racing,Cadillac P,Matthew McMurry,Tristan Vautier,Edward Cheever,,,Spirit of Daytona Racing Cadillac DPi | P | 1.Matthew McMurry 3.Edward Cheever | 2.Tristan Vautier
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,93,GTD,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Justin Marks,Lawson Aschenbach,Mario Farnbacher,Côme Ledogar,,Michael Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Justin Marks 3.Mario Farnbacher | 2.Lawson Aschenbach 4.Côme Ledogar
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Jens Klingmann,Martin Tomczyk,Mark Kvamme,Don Yount,Cameron Lawrence,Turner Motorsport BMW M6 GT3 | GTD | 1.Jens Klingmann 3.Mark Kvamme 5.Cameron Lawrence | 2.Martin Tomczyk 4.Don Yount
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,99,LMP2,JDC-Miller Motorsports,ORECA P,Chris Miller,Stephen Simpson,Misha Goikhberg,Gustavo Menezes,,JDC-Miller Motorsports ORECA LMP2 | P | 1.Chris Miller 3.Misha Goikhberg | 2.Stephen Simpson 4.Gustavo Menezes
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,911,GTLM,Porsche GT Team,Porsche RSR,Patrick Pilet,Nick Tandy,Frederic Makowiecki,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Patrick Pilet 3.Frederic Makowiecki | 2.Nick Tandy
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Laurens Vanthoor,Earl Bamber,Gianmaria Bruni,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Laurens Vanthoor 3.Gianmaria Bruni | 2.Earl Bamber
