year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,22,LMP2,United Autosports USA,ORECA 07,Daniel Goldburg,Paul Di Resta,Bijoy Garg,,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Daniel Goldburg 3.Bijoy Garg | 2.Paul Di Resta
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,023,GTD,Triarsi Competizione,Ferrari 296 GT3,Onofrio Triarsi,Charles Scardina,Alessio Rovera,,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.Onofrio Triarsi 3.Alessio Rovera | 2.Charles Scardina
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,23,GTD PRO,Heart of Racing Team Aston Martin,Vantage GT3 Evo,Ross Gunn,Alex Riberas,Mario Farnbacher,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTDPRO | 1.Ross Gunn 3.Mario Farnbacher | 2.Alex Riberas
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,24,GTP,BMW M Team RLL,BMW M Hybrid V8,Jesse Krohn,Philipp Eng,Augusto Farfus,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Jesse Krohn 3.Augusto Farfus | 2.Philipp Eng
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,25,GTP,BMW M Team RLL,BMW M Hybrid V8,Connor De Phillippi,Nick Yelloly,Maxime Martin,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Connor De Phillippi 3.Maxime Martin | 2.Nick Yelloly
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3 Evo,Roman De Angelis,Zacharie Robichon,Ian James,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTD | 1.Roman De Angelis 3.Ian James | 2.Zacharie Robichon
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,31,GTP,Whelen Cadillac Racing,Cadillac V-Series.R,Pipo Derani,Jack Aitken,Tom Blomqvist,,,Whelen Cadillac Racing Cadillac V-Series.R | GTP | 1.Pipo Derani 3.Tom Blomqvist | 2.Jack Aitken
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,32,GTD,Korthoff/Preston Motorsports,Mercedes-AMG GT3,Mike Skeen,Mikael Grenier,Kenton Koch,,,Korthoff/Preston Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen 3.Kenton Koch | 2.Mikael Grenier
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,33,LMP2,Sean Creech Motorsport,Ligier JS P217,Lance Willsey,Joao Barbosa,Jonny Edgar,,,Sean Creech Motorsport Ligier JS P217 | LMP2 | 1.Lance Willsey 3.Jonny Edgar | 2.Joao Barbosa
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,34,GTD,Conquest Racing,Ferrari 296 GT3,Manny Franco,Albert Costa Balboa,Cedric Sbirrazzuoli,,,Conquest Racing Ferrari 296 GT3 | GTD | 1.Manny Franco 3.Cedric Sbirrazzuoli | 2.Albert Costa Balboa
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,40,GTP,Wayne Taylor Racing with Andretti,Acura ARX-06,Jordan Taylor,Louis Deletraz,Colton Herta,,,Wayne Taylor Racing with Andretti Acura ARX-06 | GTP | 1.Jordan Taylor 3.Colton Herta | 2.Louis Deletraz
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,43,GTD,Andretti Motorsports Porsche,911 GT3 R (992),Jarett Andretti,Gabby Chaves,Scott Hargrove,,,Andretti Motorsports Porsche 911 GT3 R (992) | GTD | 1.Jarett Andretti 3.Scott Hargrove | 2.Gabby Chaves
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,44,GTD,Magnus Racing Aston Martin,Vantage GT3 Evo,John Potter,Andy Lally,Spencer Pumpelly,,,Magnus Racing Aston Martin Vantage GT3 Evo | GTD | 1.John Potter 3.Spencer Pumpelly | 2.Andy Lally
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,45,GTD,Wayne Taylor Racing with Andretti Lamborghini,Huracan GT3 EVO2,Kyle Marcelli,Danny Formal,Graham Doyle,,,Wayne Taylor Racing with Andretti Lamborghini Huracan GT3 EVO2 | GTD | 1.Kyle Marcelli 3.Graham Doyle | 2.Danny Formal
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,47,GTD,CETILAR RACING,Ferrari 296 GT3,Roberto Lacorte,Giorgio Sernagiotto,Antonio Fuoco,,,CETILAR RACING Ferrari 296 GT3 | GTD | 1.Roberto Lacorte 3.Antonio Fuoco | 2.Giorgio Sernagiotto
